2024/11/14 15:32:46 method=GET path=/metrics status=200 latency=1.626667ms client_ip=::1
2024/11/14 15:33:01 method=GET path=/metrics status=200 latency=1.218ms client_ip=::1
2024/11/14 15:33:16 method=GET path=/metrics status=200 latency=1.757125ms client_ip=::1
2024/11/14 15:33:31 method=GET path=/metrics status=200 latency=2.715916ms client_ip=::1
2024/11/14 15:33:46 method=GET path=/metrics status=200 latency=1.011708ms client_ip=::1
2024/11/14 15:34:01 method=GET path=/metrics status=200 latency=861.5µs client_ip=::1
2024/11/14 15:34:16 method=GET path=/metrics status=200 latency=1.723ms client_ip=::1
2024/11/14 15:34:31 method=GET path=/metrics status=200 latency=2.409583ms client_ip=::1
2024/11/14 15:34:46 method=GET path=/metrics status=200 latency=1.122875ms client_ip=::1
2024/11/14 15:35:01 method=GET path=/metrics status=200 latency=2.646375ms client_ip=::1
2024/11/14 15:35:16 method=GET path=/metrics status=200 latency=2.099083ms client_ip=::1
2024/11/14 15:35:31 method=GET path=/metrics status=200 latency=1.296292ms client_ip=::1
2024/11/14 15:35:46 method=GET path=/metrics status=200 latency=1.875ms client_ip=::1
2024/11/14 15:36:01 method=GET path=/metrics status=200 latency=5.7425ms client_ip=::1
2024/11/14 15:36:16 method=GET path=/metrics status=200 latency=815.75µs client_ip=::1
2024/11/14 15:36:31 method=GET path=/metrics status=200 latency=1.0325ms client_ip=::1
2024/11/14 15:36:46 method=GET path=/metrics status=200 latency=903.458µs client_ip=::1
2024/11/14 15:37:01 method=GET path=/metrics status=200 latency=1.508667ms client_ip=::1
2024/11/14 15:37:16 method=GET path=/metrics status=200 latency=2.284833ms client_ip=::1
2024/11/14 15:37:31 method=GET path=/metrics status=200 latency=1.157792ms client_ip=::1
2024/11/14 15:37:46 method=GET path=/metrics status=200 latency=2.201333ms client_ip=::1
2024/11/14 15:38:01 method=GET path=/metrics status=200 latency=1.168083ms client_ip=::1
2024/11/14 15:38:16 method=GET path=/metrics status=200 latency=1.321625ms client_ip=::1
2024/11/14 15:38:31 method=GET path=/metrics status=200 latency=2.349959ms client_ip=::1
2024/11/14 15:38:46 method=GET path=/metrics status=200 latency=1.683792ms client_ip=::1
2024/11/14 15:39:01 method=GET path=/metrics status=200 latency=2.55025ms client_ip=::1
2024/11/14 15:39:16 method=GET path=/metrics status=200 latency=2.459875ms client_ip=::1
2024/11/14 15:39:31 method=GET path=/metrics status=200 latency=1.001458ms client_ip=::1
2024/11/14 15:54:31 GraphQL server created successfully
2024/11/14 15:54:31 GraphQL playground available at http://localhost:9000/
2024/11/14 15:54:31 method=GET path=/metrics status=200 latency=2.304042ms client_ip=::1
2024/11/14 15:54:46 method=GET path=/metrics status=200 latency=1.103166ms client_ip=::1
2024/11/14 15:55:01 method=GET path=/metrics status=200 latency=1.487ms client_ip=::1
2024/11/14 15:55:13 method=POST path=/send-email status=404 latency=81.458µs client_ip=::1
2024/11/14 15:55:16 method=GET path=/metrics status=200 latency=2.860667ms client_ip=::1
2024/11/14 15:55:23 method=POST path=/send-emai status=404 latency=19.083µs client_ip=::1
2024/11/14 15:55:24 method=POST path=/ status=404 latency=3.583µs client_ip=::1
2024/11/14 15:55:26 method=POST path=/ status=404 latency=3.625µs client_ip=::1
2024/11/14 15:55:31 method=POST path=/query status=200 latency=1.882292ms client_ip=::1
2024/11/14 15:55:31 method=GET path=/metrics status=200 latency=671.667µs client_ip=::1
2024/11/14 15:55:31 method=POST path=/query status=200 latency=12.746333ms client_ip=::1
2024/11/14 15:55:42 method=POST path=/g status=404 latency=41.125µs client_ip=::1
2024/11/14 15:55:44 method=POST path=/graphql status=404 latency=3.708µs client_ip=::1
2024/11/14 15:55:44 method=POST path=/graphql status=404 latency=4.834µs client_ip=::1
2024/11/14 15:55:46 method=GET path=/metrics status=200 latency=1.270875ms client_ip=::1
2024/11/14 15:56:01 method=GET path=/metrics status=200 latency=1.879ms client_ip=::1
2024/11/14 15:56:01 method=POST path=/g status=404 latency=3.5µs client_ip=::1
2024/11/14 15:56:02 method=POST path=/ status=404 latency=3.5µs client_ip=::1
2024/11/14 15:56:02 method=POST path=/ status=404 latency=4.166µs client_ip=::1
2024/11/14 15:56:02 method=POST path=/ status=404 latency=4.792µs client_ip=::1
2024/11/14 15:56:04 method=POST path=/q status=404 latency=3.75µs client_ip=::1
2024/11/14 15:56:05 method=POST path=/qu status=404 latency=7.833µs client_ip=::1
2024/11/14 15:56:06 method=POST path=/quer status=404 latency=3.541µs client_ip=::1
2024/11/14 15:56:06 method=POST path=/query status=200 latency=647.584µs client_ip=::1
2024/11/14 15:56:06 method=POST path=/query  status=404 latency=3.583µs client_ip=::1
2024/11/14 15:56:08 method=POST path=/query status=200 latency=454.959µs client_ip=::1
2024/11/14 15:56:08 method=POST path=/query status=200 latency=1.464958ms client_ip=::1
2024/11/14 15:56:08 method=POST path=/query status=200 latency=683.833µs client_ip=::1
2024/11/14 15:56:16 method=GET path=/metrics status=200 latency=1.667084ms client_ip=::1
2024/11/14 15:56:31 method=GET path=/metrics status=200 latency=1.35275ms client_ip=::1
2024/11/14 15:56:55 GraphQL server created successfully
2024/11/14 15:56:55 GraphQL playground available at http://localhost:9000/
2024/11/14 15:57:01 method=GET path=/metrics status=200 latency=2.422333ms client_ip=::1
2024/11/14 15:57:16 method=GET path=/metrics status=200 latency=1.292959ms client_ip=::1
2024/11/14 15:57:31 method=GET path=/metrics status=200 latency=3.651ms client_ip=::1
2024/11/14 15:57:41 GraphQL server created successfully
2024/11/14 15:57:41 GraphQL playground available at http://localhost:9000/
2024/11/14 15:57:44 method=POST path=/query status=200 latency=4.100625ms client_ip=::1
2024/11/14 15:57:46 method=GET path=/metrics status=200 latency=905.625µs client_ip=::1
2024/11/14 15:58:01 method=GET path=/metrics status=200 latency=6.585667ms client_ip=::1
2024/11/14 15:58:16 method=GET path=/metrics status=200 latency=2.58025ms client_ip=::1
2024/11/14 15:58:31 method=GET path=/metrics status=200 latency=1.183125ms client_ip=::1
2024/11/14 15:58:44 GraphQL server created successfully
2024/11/14 15:58:44 GraphQL playground available at http://localhost:9000/
2024/11/14 15:58:46 method=GET path=/metrics status=200 latency=2.114667ms client_ip=::1
2024/11/14 15:58:50 method=POST path=/query status=200 latency=4.803459ms client_ip=::1
2024/11/14 15:59:01 method=GET path=/metrics status=200 latency=3.301208ms client_ip=::1
2024/11/14 15:59:16 method=GET path=/metrics status=200 latency=2.185875ms client_ip=::1
2024/11/14 15:59:31 method=GET path=/metrics status=200 latency=1.788708ms client_ip=::1
2024/11/14 15:59:46 method=GET path=/metrics status=200 latency=1.499125ms client_ip=::1
2024/11/14 16:00:01 method=GET path=/metrics status=200 latency=1.575083ms client_ip=::1
2024/11/14 16:00:16 method=GET path=/metrics status=200 latency=1.107084ms client_ip=::1
2024/11/14 16:00:31 method=GET path=/metrics status=200 latency=1.69375ms client_ip=::1
2024/11/14 16:00:46 method=GET path=/metrics status=200 latency=1.423958ms client_ip=::1
2024/11/14 16:00:54 GraphQL server created successfully
2024/11/14 16:00:54 GraphQL playground available at http://localhost:9000/
2024/11/14 16:01:01 method=POST path=/query status=200 latency=2.408ms client_ip=::1
2024/11/14 16:01:01 method=GET path=/metrics status=200 latency=1.027875ms client_ip=::1
2024/11/14 16:01:02 method=POST path=/query status=200 latency=3.780625ms client_ip=::1
2024/11/14 16:01:06 method=POST path=/query status=422 latency=599.458µs client_ip=::1
2024/11/14 16:01:11 method=POST path=/query status=422 latency=88.667µs client_ip=::1
2024/11/14 16:01:16 method=GET path=/metrics status=200 latency=795.833µs client_ip=::1
2024/11/14 16:01:19 method=POST path=/query status=200 latency=7.547542ms client_ip=::1
2024/11/14 16:01:31 method=GET path=/metrics status=200 latency=6.020083ms client_ip=::1
2024/11/14 16:01:46 method=GET path=/metrics status=200 latency=2.076125ms client_ip=::1
2024/11/14 16:02:01 method=GET path=/metrics status=200 latency=1.952542ms client_ip=::1
2024/11/14 16:02:16 method=GET path=/metrics status=200 latency=3.464375ms client_ip=::1
2024/11/14 16:13:19 GraphQL server created successfully
2024/11/14 16:13:19 GraphQL playground available at http://localhost:9000/
2024/11/14 16:13:20 method=POST path=/query status=200 latency=13.373583ms client_ip=::1
2024/11/14 16:13:31 method=GET path=/metrics status=200 latency=1.76425ms client_ip=::1
2024/11/14 16:13:46 method=GET path=/metrics status=200 latency=4.208542ms client_ip=::1
2024/11/14 16:14:01 method=GET path=/metrics status=200 latency=1.953333ms client_ip=::1
2024/11/14 16:14:16 method=GET path=/metrics status=200 latency=2.132084ms client_ip=::1
2024/11/14 16:14:31 method=GET path=/metrics status=200 latency=1.549125ms client_ip=::1
2024/11/14 16:14:46 method=GET path=/metrics status=200 latency=1.39375ms client_ip=::1
2024/11/14 16:15:01 method=GET path=/metrics status=200 latency=3.533584ms client_ip=::1
2024/11/14 16:15:16 method=GET path=/metrics status=200 latency=2.299208ms client_ip=::1
2024/11/14 16:15:31 method=GET path=/metrics status=200 latency=1.390167ms client_ip=::1
2024/11/14 16:15:46 method=GET path=/metrics status=200 latency=5.728959ms client_ip=::1
2024/11/14 16:16:01 method=GET path=/metrics status=200 latency=1.710209ms client_ip=::1
2024/11/14 16:16:16 method=GET path=/metrics status=200 latency=16.612791ms client_ip=::1
2024/11/14 16:16:31 method=GET path=/metrics status=200 latency=1.371625ms client_ip=::1
2024/11/14 16:16:46 method=GET path=/metrics status=200 latency=59.933042ms client_ip=::1
2024/11/14 16:17:01 method=GET path=/metrics status=200 latency=1.566542ms client_ip=::1
2024/11/14 16:17:16 method=GET path=/metrics status=200 latency=1.076833ms client_ip=::1
2024/11/14 16:17:31 method=GET path=/metrics status=200 latency=1.260375ms client_ip=::1
2024/11/14 16:17:46 method=GET path=/metrics status=200 latency=1.306875ms client_ip=::1
2024/11/14 16:18:01 method=GET path=/metrics status=200 latency=2.371ms client_ip=::1
2024/11/14 16:20:00 GraphQL server created successfully
2024/11/14 16:20:00 GraphQL playground available at http://localhost:9000/
2024/11/14 16:20:01 method=GET path=/metrics status=200 latency=799.25µs client_ip=::1
2024/11/14 16:20:01 method=POST path=/query status=200 latency=43.999958ms client_ip=::1
2024/11/14 16:20:02 method=POST path=/query status=200 latency=1.015667ms client_ip=::1
2024/11/14 16:20:04 method=POST path=/query status=200 latency=694.375µs client_ip=::1
2024/11/14 16:20:16 method=GET path=/metrics status=200 latency=2.773167ms client_ip=::1
